Offence Code,Day,Frequency
1001,friday,245
1001,monday,218
1001,saturday,183
1001,sunday,114
1001,thursday,238
1001,tuesday,236
1001,wednesday,218
1002,saturday,1
1002,wednesday,1
1102,friday,711
1102,monday,757
1102,saturday,470
1102,sunday,305
1102,thursday,668
1102,tuesday,739
1102,wednesday,764
1105,friday,1
1106,friday,501
1106,monday,560
1106,saturday,407
1106,sunday,306
1106,thursday,431
1106,tuesday,472
1106,wednesday,470
1107,friday,152
1107,monday,204
1107,saturday,106
1107,sunday,70
1107,thursday,157
1107,tuesday,199
1107,wednesday,177
1108,friday,2
1108,monday,6
1108,sunday,2
1108,thursday,1
1108,tuesday,1
1108,wednesday,3
1109,friday,64
1109,monday,59
1109,saturday,29
1109,sunday,19
1109,thursday,49
1109,tuesday,61
1109,wednesday,53
111,friday,15
111,monday,11
111,saturday,33
111,sunday,23
111,thursday,22
111,tuesday,29
111,wednesday,28
112,friday,1
1201,friday,50
1201,monday,36
1201,saturday,27
1201,sunday,31
1201,thursday,56
1201,tuesday,39
1201,wednesday,57
121,friday,2
121,sunday,1
121,tuesday,1
121,wednesday,1
123,sunday,1
123,tuesday,1
1300,friday,142
1300,monday,163
1300,saturday,112
1300,sunday,104
1300,thursday,157
1300,tuesday,162
1300,wednesday,161
1302,saturday,1
1302,wednesday,1
1304,friday,72
1304,monday,66
1304,saturday,56
1304,sunday,55
1304,thursday,60
1304,tuesday,64
1304,wednesday,79
1402,friday,2186
1402,monday,2094
1402,saturday,2396
1402,sunday,2392
1402,thursday,1980
1402,tuesday,2041
1402,wednesday,2065
1415,friday,42
1415,monday,38
1415,saturday,41
1415,sunday,28
1415,thursday,46
1415,tuesday,30
1415,wednesday,36
1501,friday,136
1501,monday,131
1501,saturday,125
1501,sunday,92
1501,thursday,162
1501,tuesday,101
1501,wednesday,153
1502,monday,5
1502,sunday,2
1502,thursday,2
1502,tuesday,3
1502,wednesday,1
1503,friday,93
1503,monday,85
1503,saturday,81
1503,sunday,57
1503,thursday,112
1503,tuesday,88
1503,wednesday,110
1504,friday,19
1504,monday,18
1504,saturday,21
1504,sunday,15
1504,thursday,22
1504,tuesday,25
1504,wednesday,27
1510,friday,31
1510,monday,39
1510,saturday,36
1510,sunday,29
1510,thursday,40
1510,tuesday,24
1510,wednesday,39
1601,friday,4
1601,monday,6
1601,saturday,2
1601,sunday,4
1601,thursday,6
1601,tuesday,4
1601,wednesday,3
1602,friday,13
1602,monday,18
1602,saturday,7
1602,sunday,5
1602,thursday,36
1602,tuesday,44
1602,wednesday,38
1603,friday,1
1603,monday,1
1603,thursday,2
1605,friday,1
1605,monday,1
1605,saturday,2
1605,sunday,1
1605,thursday,3
1605,tuesday,2
1605,wednesday,3
1610,monday,3
1610,tuesday,1
1610,wednesday,3
1620,monday,1
1620,thursday,1
1805,friday,21
1805,monday,18
1805,saturday,15
1805,sunday,1
1805,thursday,26
1805,tuesday,22
1805,wednesday,29
1806,friday,35
1806,monday,30
1806,saturday,20
1806,sunday,4
1806,thursday,47
1806,tuesday,22
1806,wednesday,19
1807,friday,3
1807,monday,1
1807,sunday,1
1807,thursday,1
1810,friday,320
1810,monday,315
1810,saturday,206
1810,sunday,122
1810,thursday,301
1810,tuesday,365
1810,wednesday,362
1815,friday,33
1815,monday,32
1815,saturday,24
1815,sunday,15
1815,thursday,31
1815,tuesday,30
1815,wednesday,30
1825,friday,11
1825,monday,8
1825,saturday,10
1825,sunday,6
1825,thursday,13
1825,tuesday,8
1825,wednesday,19
1830,friday,206
1830,monday,131
1830,saturday,176
1830,sunday,143
1830,thursday,199
1830,tuesday,165
1830,wednesday,185
1831,friday,45
1831,monday,42
1831,saturday,56
1831,sunday,34
1831,thursday,49
1831,tuesday,42
1831,wednesday,43
1832,friday,44
1832,monday,44
1832,saturday,55
1832,sunday,45
1832,thursday,60
1832,tuesday,40
1832,wednesday,49
1841,friday,234
1841,monday,211
1841,saturday,148
1841,sunday,50
1841,thursday,199
1841,tuesday,255
1841,wednesday,232
1842,friday,238
1842,monday,227
1842,saturday,185
1842,sunday,103
1842,thursday,249
1842,tuesday,262
1842,wednesday,255
1843,friday,345
1843,monday,349
1843,saturday,240
1843,sunday,107
1843,thursday,377
1843,tuesday,338
1843,wednesday,353
1844,friday,58
1844,monday,63
1844,saturday,65
1844,sunday,34
1844,thursday,90
1844,tuesday,74
1844,wednesday,74
1845,friday,151
1845,monday,147
1845,saturday,112
1845,sunday,64
1845,thursday,128
1845,tuesday,162
1845,wednesday,133
1846,friday,93
1846,monday,92
1846,saturday,70
1846,sunday,32
1846,thursday,117
1846,tuesday,88
1846,wednesday,94
1847,friday,28
1847,monday,36
1847,saturday,33
1847,sunday,5
1847,thursday,32
1847,tuesday,25
1847,wednesday,46
1848,friday,157
1848,monday,158
1848,saturday,98
1848,sunday,54
1848,thursday,139
1848,tuesday,128
1848,wednesday,153
1849,friday,416
1849,monday,397
1849,saturday,356
1849,sunday,162
1849,thursday,426
1849,tuesday,432
1849,wednesday,402
1850,friday,28
1850,monday,26
1850,saturday,18
1850,sunday,2
1850,thursday,18
1850,tuesday,18
1850,wednesday,44
1863,friday,1
1864,saturday,1
1866,monday,1
1866,tuesday,1
1870,friday,19
1870,monday,10
1870,saturday,12
1870,thursday,15
1870,tuesday,18
1870,wednesday,12
1874,friday,212
1874,monday,202
1874,saturday,135
1874,sunday,78
1874,thursday,185
1874,tuesday,229
1874,wednesday,233
1901,friday,4
1901,sunday,1
