Offense Code,District,Frequency
1001,a1,143
1001,a15,18
1001,a7,42
1001,b2,190
1001,b3,125
1001,c11,266
1001,c6,87
1001,d14,117
1001,d4,208
1001,e13,112
1001,e18,84
1001,e5,58
1002,c11,1
1002,d4,1
1102,a1,669
1102,a15,80
1102,a7,142
1102,b2,543
1102,b3,446
1102,c11,499
1102,c6,258
1102,d14,360
1102,d4,653
1102,e13,201
1102,e18,294
1102,e5,242
1105,a1,1
1106,a1,482
1106,a15,65
1106,a7,70
1106,b2,302
1106,b3,262
1106,c11,408
1106,c6,277
1106,d14,231
1106,d4,529
1106,e13,149
1106,e18,187
1106,e5,178
1107,a1,106
1107,a15,27
1107,a7,44
1107,b2,198
1107,b3,97
1107,c11,122
1107,c6,70
1107,d14,55
1107,d4,101
1107,e13,61
1107,e18,97
1107,e5,80
1108,a1,1
1108,a7,1
1108,b2,4
1108,b3,3
1108,c11,1
1108,c6,1
1108,d14,1
1108,e13,2
1108,e18,1
1109,a1,50
1109,a15,5
1109,a7,8
1109,b2,27
1109,b3,28
1109,c11,45
1109,c6,18
1109,d14,19
1109,d4,61
1109,e13,21
1109,e18,17
1109,e5,29
111,a1,5
111,a7,8
111,b2,48
111,b3,31
111,c11,32
111,c6,10
111,d14,2
111,d4,8
111,e13,7
111,e18,8
111,e5,2
112,b2,1
1201,a1,50
1201,a15,3
1201,a7,9
1201,b2,17
1201,b3,13
1201,c11,30
1201,c6,35
1201,d14,26
1201,d4,61
1201,e13,7
1201,e18,33
1201,e5,12
121,c11,1
121,c6,1
121,e13,1
121,e18,1
121,e5,1
123,b3,1
123,c11,1
1300,a1,134
1300,a15,15
1300,a7,36
1300,b2,178
1300,b3,105
1300,c11,162
1300,c6,67
1300,d14,32
1300,d4,163
1300,e13,54
1300,e18,34
1300,e5,16
1302,b3,1
1302,d4,1
1304,a1,40
1304,a15,6
1304,a7,12
1304,b2,64
1304,b3,41
1304,c11,65
1304,c6,34
1304,d14,24
1304,d4,112
1304,e13,20
1304,e18,19
1304,e5,14
1402,a1,1184
1402,a15,385
1402,a7,775
1402,b2,2420
1402,b3,1899
1402,c11,2396
1402,c6,1179
1402,d14,981
1402,d4,1687
1402,e13,813
1402,e18,749
1402,e5,638
1415,a1,20
